team_a,team_b,games,a_wins,draws,a_losses,a_goals,b_goals,last_match_utc
nova-strict,simple-four-modes,1,0,1,0,0,0,2026-08-28T20:54:46Z
nova-vertical,release-and-run,5,1,4,0,1,0,2026-08-28T23:30:05Z
nova-vertical,release-balanced-g5,1,0,1,0,0,0,2026-08-28T22:21:57Z
nova-vertical,release-counterpress-g1,1,0,1,0,0,0,2026-08-28T21:21:13Z
nova-vertical,release-deep-denial-g3,1,0,1,0,0,0,2026-08-28T21:48:30Z
nova-vertical,release-deep-denial-g4,10,1,6,3,1,3,2026-08-29T01:51:33Z
nova-vertical,release-finish-window-g6,1,0,1,0,0,0,2026-08-28T22:27:42Z
nova-vertical,release-switch-shield-g5,6,0,6,0,0,0,2026-08-29T01:56:25Z
nova-vertical,strict-wide-pocket-g3,4,1,3,0,1,0,2026-08-28T23:51:51Z
nova-vertical,vertical-wingbacks,1,0,1,0,0,0,2026-08-28T21:04:15Z
release-and-run,release-switch-shield-g5,2,0,2,0,0,0,2026-08-29T01:11:50Z
release-and-run,simple-four-modes,4,1,2,1,1,1,2026-08-29T02:06:45Z
release-and-run,strict-wide-pocket-g1,1,0,1,0,0,0,2026-08-28T22:33:07Z
release-and-run,strict-wide-pocket-g2,1,0,1,0,0,0,2026-08-28T22:40:09Z
release-and-run,strict-wide-pocket-g3,5,0,5,0,0,0,2026-08-28T23:43:21Z
release-and-run,vertical-direct-shot-g1,1,1,0,0,1,0,2026-08-28T21:29:09Z
release-and-run,vertical-safe-release-g1,2,1,1,0,1,0,2026-08-28T21:33:56Z
release-and-run,vertical-wingbacks,1,0,1,0,0,0,2026-08-29T00:46:30Z
release-counterpress-g1,vertical-safe-release-g1,1,0,1,0,0,0,2026-08-28T21:26:58Z
release-deep-denial-g4,release-reliable-g1,1,0,1,0,0,0,2026-08-28T23:24:36Z
release-deep-denial-g4,release-switch-shield-g5,3,0,3,0,0,0,2026-08-29T01:35:38Z
release-deep-denial-g4,simple-four-modes,5,0,4,1,0,1,2026-08-29T01:41:10Z
release-deep-denial-g4,strict-switch-counter-g4,4,1,2,1,1,1,2026-08-29T02:01:09Z
release-deep-denial-g4,strict-wide-pocket-g3,3,0,3,0,0,0,2026-08-28T23:56:24Z
release-deep-denial-g4,vertical-wingbacks,1,0,1,0,0,0,2026-08-29T00:34:50Z
release-finish-window-g6,simple-four-modes,1,0,1,0,0,0,2026-08-28T22:25:19Z
release-reliable-g1,simple-four-modes,1,0,1,0,0,0,2026-08-28T23:27:23Z
release-switch-shield-g5,simple-four-modes,5,0,4,1,0,1,2026-08-29T01:43:56Z
release-switch-shield-g5,strict-switch-counter-g4,3,1,2,0,1,0,2026-08-29T01:24:56Z
release-switch-shield-g5,vertical-wingbacks,1,0,1,0,0,0,2026-08-29T00:58:03Z
simple-four-modes,vertical-wingbacks,2,0,2,0,0,0,2026-08-28T21:12:47Z
