team_id,match_exposures,trusted_games,excluded_match_exposures,local_harmful_matches,decisions,nova_micro,mask_forced,deterministic_actions,harmful_idle_actions,harmful_idle_rate_pct
kd-verticalis,6,0,6,6,1800,1774,0,0,26,1.4444
nova-baseline,2,0,2,2,600,582,0,0,18,3.0
nova-strict,9,1,8,7,2700,1193,1489,10,8,0.2963
nova-vertical,39,30,9,0,11700,6995,4642,63,0,0.0
release-and-run,41,22,19,11,12300,12288,0,0,12,0.0976
release-balanced-g5,2,1,1,0,600,600,0,0,0,0.0
release-counterpress-g1,3,2,1,1,900,899,0,0,1,0.1111
release-deep-denial-g2,1,0,1,1,300,299,0,0,1,0.3333
release-deep-denial-g3,3,1,2,2,900,898,0,0,2,0.2222
release-deep-denial-g4,40,27,13,7,12000,11973,0,14,9,0.075
release-finish-window-g6,2,2,0,0,600,599,0,1,0,0.0
release-forward-wave-g1,1,0,1,0,300,300,0,0,0,0.0
release-high-wave-g2,1,0,1,1,300,297,0,0,3,1.0
release-reliable-g1,3,2,1,0,900,897,0,3,0,0.0
release-switch-shield-g5,28,20,8,4,8400,8380,0,16,4,0.0476
simple-four-modes,26,19,7,7,7800,6246,0,1547,7,0.0897
simple-pressure-carry-g1,1,0,1,0,300,240,0,60,0,0.0
strict-switch-counter-g4,8,7,1,0,2400,1284,1108,8,0,0.0
strict-wide-pocket-g1,3,1,2,2,900,492,399,6,3,0.3333
strict-wide-pocket-g2,2,1,1,1,600,281,314,4,1,0.1667
strict-wide-pocket-g3,15,12,3,0,4500,2141,2320,39,0,0.0
vertical-direct-shot-g1,1,1,0,0,300,183,116,1,0,0.0
vertical-safe-release-g1,3,3,0,0,900,444,450,6,0,0.0
vertical-wingbacks,12,6,6,6,3600,3594,0,0,6,0.1667
