home,away,seed
kd-verticalis,nova-strict,1202
kd-verticalis,nova-vertical,1203
release-and-run,kd-verticalis,1204
simple-four-modes,kd-verticalis,1205
vertical-wingbacks,kd-verticalis,1206
nova-baseline,nova-strict,1207
nova-baseline,nova-vertical,1208
nova-baseline,release-and-run,1209
simple-four-modes,nova-baseline,1210
vertical-wingbacks,nova-baseline,1211
nova-strict,nova-vertical,1212
nova-strict,release-and-run,1213
nova-strict,simple-four-modes,1214
vertical-wingbacks,nova-strict,1215
nova-vertical,release-and-run,1216
nova-vertical,simple-four-modes,1217
nova-vertical,vertical-wingbacks,1218
release-and-run,simple-four-modes,1219
release-and-run,vertical-wingbacks,1220
simple-four-modes,vertical-wingbacks,1221
