team_id,rating,games,wins,draws,losses,goals_for,goals_against,status,last_updated_utc
simple-four-modes,1536.369,19,3,15,1,3,1,provisional,2026-08-29T02:59:42Z
release-deep-denial-g4,1511.707,27,4,20,3,4,3,stable,2026-08-29T02:59:42Z
vertical-wingbacks,1501.571,6,0,6,0,0,0,provisional,2026-08-29T02:59:42Z
release-and-run,1501.489,22,3,17,2,3,2,stable,2026-08-29T02:59:42Z
strict-wide-pocket-g1,1501.336,1,0,1,0,0,0,provisional,2026-08-29T02:59:42Z
strict-wide-pocket-g2,1501.275,1,0,1,0,0,0,provisional,2026-08-29T02:59:42Z
release-deep-denial-g3,1500.702,1,0,1,0,0,0,provisional,2026-08-29T02:59:42Z
release-counterpress-g1,1500.67,2,0,2,0,0,0,provisional,2026-08-29T02:59:42Z
release-balanced-g5,1500.434,1,0,1,0,0,0,provisional,2026-08-29T02:59:42Z
release-reliable-g1,1500.186,2,0,2,0,0,0,provisional,2026-08-29T02:59:42Z
kd-verticalis,1500.0,0,0,0,0,0,0,provisional,2026-08-29T02:59:42Z
nova-baseline,1500.0,0,0,0,0,0,0,provisional,2026-08-29T02:59:42Z
nova-strict,1500.0,1,0,1,0,0,0,provisional,2026-08-29T02:59:42Z
release-deep-denial-g2,1500.0,0,0,0,0,0,0,provisional,2026-08-29T02:59:42Z
release-forward-wave-g1,1500.0,0,0,0,0,0,0,provisional,2026-08-29T02:59:42Z
release-high-wave-g2,1500.0,0,0,0,0,0,0,provisional,2026-08-29T02:59:42Z
simple-pressure-carry-g1,1500.0,0,0,0,0,0,0,provisional,2026-08-29T02:59:42Z
release-finish-window-g6,1499.796,2,0,2,0,0,0,provisional,2026-08-29T02:59:42Z
release-switch-shield-g5,1496.923,20,1,18,1,1,1,stable,2026-08-29T02:59:42Z
nova-vertical,1493.651,30,3,24,3,3,3,stable,2026-08-29T02:59:42Z
strict-switch-counter-g4,1491.457,7,1,4,2,1,2,provisional,2026-08-29T02:59:42Z
strict-wide-pocket-g3,1489.286,12,0,11,1,0,1,provisional,2026-08-29T02:59:42Z
vertical-safe-release-g1,1486.956,3,0,2,1,0,1,provisional,2026-08-29T02:59:42Z
vertical-direct-shot-g1,1484.034,1,0,0,1,0,1,provisional,2026-08-29T02:59:42Z
